raw_person_id,raw_name,normalized_name,canonical_key,suggested_canonical_name,mention_letters_count,sender_letters_count,recipient_letters_count,action,canonical_name_override,notes
261, B.F. Perry,bf perry,bf_perry,B.F.  Perry,0,2,0,review,,
4192,&,,unknown,&,3,0,0,review,,
4327,& Annas,annas,annas,& Annas,1,0,0,review,,
5079,& Col,col,col,& Col,1,0,0,review,,
5165,& Franks,franks,franks,& Franks,1,0,0,review,,
5273,& Hammond,hammond,hammond,& Hammond,1,0,0,review,,
5031,& Harriett,harriett,harriett,& Harriett,1,0,0,review,,
5331,& Warren,warren,warren,& Warren,1,0,0,review,,
4205,&c.,c,c,&c.,1,0,0,review,,
3720,138,138,138,138,1,0,0,review,,
4744,[Charles Alexander] Thornwell,charles alexander thornwell,charles_alexander_thornwell,[Charles Alexander] Thornwell,1,0,0,review,,
5378,[Earl] Van Dorn,earl van dorn,earl_van_dorn,[Earl] Van Dorn,1,0,0,review,,
5333,[George D. Tillman,george d tillman,george_d_tillman,[George D. Tillman,1,0,0,review,,
3582,[George] McDuffie,george mcduffie,george_mcduffie,[George] McDuffie,1,0,0,review,,
4726,[Hon,hon,hon,[Hon,1,0,0,review,,
3971,[John C.] Calhoun &,john c calhoun,john_c_calhoun,[John C.] Calhoun &,1,0,0,review,,
4668,[John Izard] Middleton,john izard middleton,john_izard_middleton,[John Izard] Middleton,1,0,0,review,,
4835,[John] Livingston,john livingston,john_livingston,[John] Livingston,1,0,0,review,,
5411,[John] Pettit,john pettit,john_pettit,[John] Pettit,1,0,0,review,,
4858,[Lewis] Cass,lewis cass,lewis_cass,[Lewis] Cass,1,0,0,review,,
5380,[Thomas,thomas,thomas,[Thomas,1,0,0,review,,
3890,[Thomas Martin] Wagner,thomas martin wagner,thomas_martin_wagner,[Thomas Martin] Wagner,1,0,0,review,,
5158,[Thomas Stephen],thomas stephen,thomas_stephen,[Thomas Stephen],1,0,0,review,,
4800,[William Alexander] Rosborough,william alexander rosborough,william_alexander_rosborough,[William Alexander] Rosborough,1,0,0,review,,
3705,[William Lowndes],william lowndes,william_lowndes,[William Lowndes],1,0,0,review,,
4563,[William] Blanding,william blanding,william_blanding,[William] Blanding,1,0,0,review,,
4038,] F. McCaw of,f mccaw of,f_mccaw_of,] F. McCaw of,1,0,0,review,,
2220,A P. Script,a p script,a_p_script,A P. Script,1,0,0,review,,
4199,a P. Script,a p script,a_p_script,A P. Script,1,0,0,review,,
1729,A. Allston,a allston,a_allston,A. Allston,1,0,0,review,,
2736,A. Burt,a burt,a_burt,A. Burt,1,0,0,review,,
1916,A.P. Hayne,ap hayne,ap_hayne,A.P. Hayne,1,0,0,review,,
3071,A.W. Hanger,aw hanger,aw_hanger,A.W. Hanger,1,0,0,review,,
