person_id,full_name,rel_count,category_guess,candidate_canonical_ids,candidate_canonical_names,action,merge_target_id,rename_to,notes
1204,^j^j,0,unmatched,,,,,,
828,Abelard,0,unmatched,,,,,,
1180,Abraham,0,surname,895,Abraham Tucker,,,,
879,Adele,23,firstname,,,,,,
855,Aiken,0,surname,480,William Aiken,,,,
603,Albert,2,firstname,12;13;602,Albert Micajah;Albert Rhetts;My Albert,,,,
750,Alfred,1,firstname,21;166;709,Alfred Huger;George Alfred;Charles Alfred,,,,
1142,Allen,0,surname,25;164;1210,Allen Merrits;G. Allen Huggins;Allen Izard,,,,
921,Amos,0,firstname,,,,,,
902,Anderson,1,unmatched,,,,,,
569,Andrew,0,firstname,29;30;32;33,Andrew B. Crook;Andrew Gordon Magrath;Andrew Pickens;Andrew Pickens Butler,,,,
1185,Ann,0,firstname,1169;1195;1245,Ann Pamela Cunningham;Sister Ann;Sister Ann's,,,,
1199,Anna,0,firstname,35;36;37,Anna Green;Anna Hayne;Anna Perry,,,,
806,Anne,3,firstname,38;847;937,Anne Williams;Anne Deas;Mary Anne Petigru,,,,
1141,Archer,0,surname,524,William S. Archer,,,,
678,ardson,0,unmatched,,,,,,
862,Arthur,0,firstname,42;43;44;459,Arthur Hayne;Arthur P. Hayne;Arthur Simpkins;Tommy Arthur,,,,
922,Austen,0,firstname,,,,,,
803,Badwell,6,unmatched,,,,,,
627,Baker,0,unmatched,,,,,,
722,Balaam,0,firstname,,,,,,
1078,Baldwin,0,surname,268,John Baldwin,,,,
949,Bartholomew,0,firstname,,,,,,
992,Beauregard,2,unmatched,,,,,,
604,Becky,0,firstname,56,Becky Sharp,,,,
936,Bellinger,0,unmatched,,,,,,
564,Belot,0,unmatched,,,,,,
813,Ben,15,firstname,57;58;59;708;1234,Ben McCulloch;Ben McDaniel;Ben Yanceys;Ben Huger;Ben All- ston,,,,
700,Benjamin,0,firstname,2;61;689;1082,Benjamin Franklin Perry;Benjamin D. Naebors;Benjamin Watkins Leigh was;Benjamin Fanieul Hunt,,,,
789,Bennett,1,unmatched,,,,,,
720,Bergeaud,0,unmatched,,,,,,
751,Berrien,7,unmatched,,,,,,
958,bert,0,unmatched,,,,,,
744,Bill,8,firstname,64;65;66;67;68,Bill Arps;Bill Beattie;Bill Fisher &;Bill Jones;Bill Thompson,,,,
1189,Blatchford,0,unmatched,,,,,,
883,Boileau,0,unmatched,,,,,,
987,Bowie,0,surname,583,Alexander Bowie,,,,
866,Bowman,0,unmatched,,,,,,
615,Boycef,0,junk,,,drop,,,
787,Boyer,0,unmatched,,,,,,
655,Branham,0,unmatched,,,,,,
644,Brisbane,0,unmatched,,,,,,
1089,Britt,3,unmatched,,,,,,
998,Brown,0,surname,384;642,Robert Brown Elliott;A. H. Brown,,,,
707,Brutus,0,firstname,,,,,,
915,Bryan,0,surname,203;1140,Isaac Bryan;Hardy Bryan Croom,,,,
854,Buchanan,2,unmatched,,,,,,
872,Bull,0,unmatched,,,,,,
1073,Bunell,0,unmatched,,,,,,
1237,Burnett,0,unmatched,,,,,,
1019,Burnside,1,unmatched,,,,,,
748,Burrell,0,unmatched,,,,,,
900,Burt,1,surname,41;148,Armistead Burt;Frank Burt,,,,
835,burton,0,unmatched,,,,,,
1163,Calas,0,unmatched,,,,,,
601,Calhoun,30,surname,272;332;374;485;791,John C. Calhoun;Martha Calhoun;Ransom Calhoun;William Calhoun;J. C. Calhoun,,,,
578,Cardiospermum,0,unmatched,,,,,,
623,Cardoza,0,unmatched,,,,,,
672,Carew,0,unmatched,,,,,,
579,Carey,25,unmatched,,,,,,
815,Caroline,19,firstname,1135,Jane Caroline,,,,
1087,Carr,0,unmatched,,,,,,
864,carson,7,surname,244;425;916;1053;1178;1247,Jennie Carson;Tench Carson;W. A. Carson;James Carson;william carson;JAMES PETIGRU CARSON,,,,
1241,Carter,0,unmatched,,,,,,
910,Cary,0,firstname,473,Wes Cary,,,,
812,Casey,0,unmatched,,,,,,
908,Cass,2,surname,324,Lewis Cass,,,,
660,Charles,26,firstname,74;75;76;77;78;79;80;274;709;825;907,Charles Alexander Thornwell;Charles Hammond;Charles Henry Simonton;Charles Hill;Charles Lanman;Charles Magill Conrad;Charles Sullivan;John Charles McClenaghan;Charles Alfred;Charles Elliott;Charles Pelot,,,,
1037,Charley,12,firstname,81;82;83,Charley Ketchum;Charley Lanneau;Charley ONeal,,,,
805,Chattahoochie,0,unmatched,,,,,,
773,Chesnut,0,surname,214,James Chesnut,,,,
647,Chester,0,unmatched,,,,,,
1108,Chisolm,0,unmatched,,,,,,
1218,Choiseul,0,unmatched,,,,,,
723,Clark,2,unmatched,,,,,,
633,Clay,1,unmatched,,,,,,
635,Clayton,2,unmatched,,,,,,
912,Collier,1,unmatched,,,,,,
934,Conner,2,unmatched,,,,,,
968,Cook,0,unmatched,,,,,,
683,Cooper,6,unmatched,,,,,,
1027,Coosawhatchie,0,unmatched,,,,,,
1121,Cornwallis,0,unmatched,,,,,,
1109,Coster,0,unmatched,,,,,,
1183,Cotton,0,surname,1175,Cotton Country,,,,
586,Crafts,0,unmatched,,,,,,
1143,Croom,0,surname,1140,Hardy Bryan Croom,,,,
1014,Cuthbert,0,surname,1016;1131,William Cuthbert;George B. Cuthbert,,,,
919,Cuyler,0,unmatched,,,,,,
747,Dagon,0,unmatched,,,,,,
817,Dan,8,unmatched,,,,,,
822,Dana,0,unmatched,,,,,,
804,Daniel,2,firstname,94;311;885,Daniel Elliott Huger;Joseph Daniel Pope;Daniel arrived,,,,
770,David,0,surname,95;96;97;769,David J. McCords;David Johnson;David Lowry;David McCord,,,,
651,Davis,24,surname,70;242;276;469;848;925,Bishop Davis;Jeff Davis;John Davis;Warren Davis;Nathan Davis;George Davis,,,,
974,De,0,surname,1156;1159,Louis Dumesnil de St. Pierre;Jean de la Howe,,,,
588,Dean,1,unmatched,,,,,,
1120,DeKalb,0,unmatched,,,,,,
759,Demos,3,unmatched,,,,,,
1129,Dick,0,surname,100;1084,Dick Jacobs;Dick Johnson,,,,
1088,Dickert,0,unmatched,,,,,,
763,Dickson,0,surname,407,Samuel Henry Dickson,,,,
1094,Divorce,0,unmatched,,,,,,
719,Douglas,0,unmatched,,,,,,
950,Douglass,0,surname,741,Douglass Cruger,,,,
699,Duff,0,surname,698,Duff Green,,,,
686,Duffie,0,unmatched,,,,,,
743,Dunkin,0,surname,322,Justine Dunkin,,,,
675,Earle,0,surname,102;109;119;129;406;447;451,E.D. Earle;Edward Earle;Elias Earle;Emily Earle;Samuel Earle;Thompson Earle;Tom Earle,,,,
1100,Easter,0,unmatched,,,,,,
1212,Edenton,0,unmatched,,,,,,
963,Edgefield,1,unmatched,,,,,,
1009,Edgerton,0,unmatched,,,,,,
543,Elie,0,surname,566,Elie Gibert,,,,
555,Elizabeth,0,firstname,,,,,,
1057,Elkins,1,unmatched,,,,,,
894,Elmore,1,surname,158;734,Franklin Harper Elmore;Franklin Elmore,,,,
1193,Embrace,0,unmatched,,,,,,
824,Episcopal,0,unmatched,,,,,,
1029,Erickson,0,unmatched,,,,,,
630,Ervin,0,unmatched,,,,,,
928,Essay,0,unmatched,,,,,,
643,Estill,0,unmatched,,,,,,
548,Etienne,0,surname,279;565,John Etienne;Etienne Gibert,,,,
676,Evans,1,surname,320;351,Josiah James Evans;Oliver Evans Edwards,,,,
955,Everett,2,surname,1146,EDWARD EVERETT,,,,
831,Familiar,0,unmatched,,,,,,
1165,Farmer,0,unmatched,,,,,,
1174,Faulkner,0,unmatched,,,,,,
715,Felder,0,unmatched,,,,,,
571,Felix,0,surname,138,Felix Rodgers,,,,
662,Figaro,0,unmatched,,,,,,
1092,Fisk,0,unmatched,,,,,,
1209,Floyd,0,unmatched,,,,,,
1224,Forrest,0,unmatched,,,,,,
638,Forsyth,2,unmatched,,,,,,
654,Foster,1,surname,140;141;387,Foster Goodell;Foster Perry;Robert Foster,,,,
1239,Frank,0,surname,148;149;150;151;152;153;154;155;156;157,Frank Burt;Frank Cox;Frank Coxe;Frank Fisher;Frank Kayne;Frank Key;Frank McBee;Frank Perry;Frank Pickens;Frank Porcher,,,,
1222,Fraser,0,unmatched,,,,,,
1030,Frasier,0,unmatched,,,,,,
