canonical_key,alias_name,source_id,notes
bf_perry,B.F. Perry,,From BFPerry person_id=261
bf_perry,B.F Perry,,From BFPerry person_id=267
bf_perry,B.F.  Perry,,From BFPerry person_id=5471
unknown,&,,From BFPerry person_id=4192
annas,& Annas,,From BFPerry person_id=4327
annas,Annas,,From BFPerry person_id=1726
col,& Col,,From BFPerry person_id=5079
col,Col,,From BFPerry person_id=1959
franks,& Franks,,From BFPerry person_id=5165
franks,Franks,,From BFPerry person_id=2360
hammond,& Hammond,,From BFPerry person_id=5273
hammond,Hammond,,From BFPerry person_id=2203
harriett,& Harriett,,From BFPerry person_id=5031
harriett,Harriett,,From BFPerry person_id=2991
warren,& Warren,,From BFPerry person_id=5331
warren,Warren,,From BFPerry person_id=2350
c,&c.,,From BFPerry person_id=4205
c,C,,From BFPerry person_id=4335
138,138,,From BFPerry person_id=3720
charles_alexander_thornwell,[Charles Alexander] Thornwell,,From BFPerry person_id=4744
charles_alexander_thornwell,Charles Alexander Thornwell,,From BFPerry person_id=2726
earl_van_dorn,[Earl] Van Dorn,,From BFPerry person_id=5378
earl_van_dorn,Earl Van Dorn,,From BFPerry person_id=3313
george_d_tillman,[George D. Tillman,,From BFPerry person_id=5333
george_d_tillman,George D. Tillman,,From BFPerry person_id=3271
george_mcduffie,[George] McDuffie,,From BFPerry person_id=3582
george_mcduffie,George McDuffie,,From BFPerry person_id=1622
george_mcduffie,George] McDuffie,,From BFPerry person_id=4473
hon,[Hon,,From BFPerry person_id=4726
john_c_calhoun,[John C.] Calhoun &,,From BFPerry person_id=3971
john_c_calhoun,John C. Calhoun,,From BFPerry person_id=2000
john_izard_middleton,[John Izard] Middleton,,From BFPerry person_id=4668
john_izard_middleton,John Izard Middleton,,From BFPerry person_id=2316
john_livingston,[John] Livingston,,From BFPerry person_id=4835
john_livingston,John Livingston,,From BFPerry person_id=2363
john_livingston,John] Livingston,,From BFPerry person_id=4360
john_pettit,[John] Pettit,,From BFPerry person_id=5411
john_pettit,John Pettit,,From BFPerry person_id=3292
lewis_cass,[Lewis] Cass,,From BFPerry person_id=4858
lewis_cass,Lewis Cass,,From BFPerry person_id=2836
thomas,[Thomas,,From BFPerry person_id=5380
thomas,Thomas,,From BFPerry person_id=1908
thomas_martin_wagner,[Thomas Martin] Wagner,,From BFPerry person_id=3890
thomas_martin_wagner,Thomas Martin Wagner,,From BFPerry person_id=1921
thomas_stephen,[Thomas Stephen],,From BFPerry person_id=5158
thomas_stephen,Thomas Stephen,,From BFPerry person_id=3109
william_alexander_rosborough,[William Alexander] Rosborough,,From BFPerry person_id=4800
william_alexander_rosborough,William Alexander Rosborough,,From BFPerry person_id=2780
william_lowndes,[William Lowndes],,From BFPerry person_id=3705
william_lowndes,William Lowndes,,From BFPerry person_id=1744
william_blanding,[William] Blanding,,From BFPerry person_id=4563
william_blanding,William Blanding,,From BFPerry person_id=2557
f_mccaw_of,] F. McCaw of,,From BFPerry person_id=4038
a_p_script,A P. Script,,From BFPerry person_id=2220
a_allston,A. Allston,,From BFPerry person_id=1729
a_burt,A. Burt,,From BFPerry person_id=2736
ap_hayne,A.P. Hayne,,From BFPerry person_id=1916
aw_hanger,A.W. Hanger,,From BFPerry person_id=3071
arthur_hayne,A[rthur] Hayne,,From BFPerry person_id=3319
arthur_hayne,Arthur Hayne,,From BFPerry person_id=1668
abbott,Abbott,,From BFPerry person_id=3119
absalom_blythe,Absalom Blythe,,From BFPerry person_id=2120
adam,Adam,,From BFPerry person_id=2791
adam_jones,Adam Jones,,From BFPerry person_id=3033
adams,Adams,,From BFPerry person_id=1737
adams_run,Adams Run,,From BFPerry person_id=1783
adieu,Adieu,,From BFPerry person_id=1634
adley_hogan,Adley Hogan,,From BFPerry person_id=3229
adley_hogan,Adley Hogan],,From BFPerry person_id=5288
aiken,Aiken,,From BFPerry person_id=1709
aikens_reg,Aikens Reg,,From BFPerry person_id=3246
akins,Akins,,From BFPerry person_id=2803
al,Al,,From BFPerry person_id=2834
allston,Al[l]ston,,From BFPerry person_id=5081
allston,Al]l]ston,,From BFPerry person_id=5080
allston,Allston,,From BFPerry person_id=1673
albert_micajah,Albert Micajah,,From BFPerry person_id=2802
albert_rhett,Albert Rhett,,From BFPerry person_id=2473
albert_rhetts,Albert Rhetts,,From BFPerry person_id=3107
aldrich,Aldrich,,From BFPerry person_id=2763
aldridge,Aldridge,,From BFPerry person_id=2268
aleck,Aleck,,From BFPerry person_id=3139
alex_mcbee,Alex McBee,,From BFPerry person_id=2547
alex_robertson,Alex Robertson,,From BFPerry person_id=1705
alex_taylor,Alex Taylor,,From BFPerry person_id=2793
alexander,Alexander,,From BFPerry person_id=2343
alexander_dromgoole_sims_of_darlington,Alexander Dromgoole Sims of Darlington,,From BFPerry person_id=2556
alexander_dromgoole_sims_of_darlington,Alexander Dromgoole] Sims of Darlington,,From BFPerry person_id=4562
alexander_evins,Alexander Evins,,From BFPerry person_id=2876
alexander_evins,Alexander] Evins,,From BFPerry person_id=4904
alexander_mcbee,Alexander McBee,,From BFPerry person_id=2073
alexander_taylor,Alexander Taylor,,From BFPerry person_id=2033
alexandria,Alexandria,,From BFPerry person_id=2447
alfred,Alfred,,From BFPerry person_id=1728
alfred_huger,Alfred Huger,,From BFPerry person_id=3283
alice_roberts,Alice Roberts,,From BFPerry person_id=2321
allan,Allan,,From BFPerry person_id=3472
allard_belin_flagg,Allard Belin Flagg,,From BFPerry person_id=2491
allard_belin_flagg,Allard Belin] Flagg,,From BFPerry person_id=4493
alleier_barrett,Alleier Barrett,,From BFPerry person_id=2757
allen,Allen,,From BFPerry person_id=2135
allen_merrits,Allen Merrits,,From BFPerry person_id=2172
allens,Allens,,From BFPerry person_id=3491
alston,Alston,,From BFPerry person_id=2538
alston_hayne,Alston Hayne,,From BFPerry person_id=2267
alston_kayne,Alston Kayne,,From BFPerry person_id=3480
amma,Amma,,From BFPerry person_id=2336
anball,anball,,From BFPerry person_id=3209
anderdanck,Anderdanck,,From BFPerry person_id=2942
anderson,Anderson,,From BFPerry person_id=1557
anderson__neeley,Anderson & Neeley,,From BFPerry person_id=3724
anderson_c,Anderson C,,From BFPerry person_id=3260
anderson_c_house,Anderson C. House,,From BFPerry person_id=1787
anderson_ch,Anderson C.H.,,From BFPerry person_id=1556
anderson_court,Anderson Court,,From BFPerry person_id=1727
andersons,Andersons,,From BFPerry person_id=3051
andrew_b_crook,Andrew B. Crook,,From BFPerry person_id=3286
andrew_b_crook,Andrew B.] Crook,,From BFPerry person_id=5348
andrew_gordon_magrath,Andrew Gordon Magrath,,From BFPerry person_id=2185
andrew_gordon_magrath,Andrew Gordon] Magrath,,From BFPerry person_id=4162
andrew_p_butler,Andrew P. Butler,,From BFPerry person_id=3054
andrew_p_butler,Andrew P.] Butler,,From BFPerry person_id=5097
andrew_pickens,Andrew Pickens,,From BFPerry person_id=3355
andrew_pickens_butler,Andrew Pickens Butler,,From BFPerry person_id=2431
andrew_pickens_butler,Andrew Pickens] Butler,,From BFPerry person_id=4429
andy,Andy,,From BFPerry person_id=2156
andy_johnson,Andy Johnson,,From BFPerry person_id=3266
ann,Ann,,From BFPerry person_id=2365
anna,Anna,,From BFPerry person_id=1640
anna,Anna &,,From BFPerry person_id=4936
anna_green,Anna Green,,From BFPerry person_id=2804
anna_hayne,Anna Hayne,,From BFPerry person_id=2394
anna_mos,Anna Mos,,From BFPerry person_id=3217
anna_perry,Anna Perry,,From BFPerry person_id=288
anna_recd,Anna recd,,From BFPerry person_id=4993
anna_trezevants,Anna Trezevants,,From BFPerry person_id=2904
annapolis,Annapolis,,From BFPerry person_id=1669
anne,Anne,,From BFPerry person_id=1798
anne_williams,Anne Williams,,From BFPerry person_id=2663
annie,Annie,,From BFPerry person_id=2332
annie_mcbee,Annie McBee,,From BFPerry person_id=3123
antwerp,Antwerp,,From BFPerry person_id=2018
armistead_burt,Armistead Burt,,From BFPerry person_id=2801
