canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
a_allston,A. Allston,A. Allston,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1729
absalom_blythe,Absalom Blythe,Absalom Blythe,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2120
adam_jones,Adam Jones,Adam Jones,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3033
adley_hogan,Adley Hogan,Adley Hogan,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3229,5288"
albert_micajah,Albert Micajah,Albert Micajah,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2802
albert_rhett,Albert Rhetts,Albert Rhetts,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2473,3107"
alex_mcbee,Alex McBee,Alex McBee,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2547
alex_robertson,Alex Robertson,Alex Robertson,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1705
alex_taylor,Alex Taylor,Alex Taylor,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2793
alexander_dromgoole_sims_of_darlington,Alexander Dromgoole] Sims of Darlington,Alexander Dromgoole] Sims of Darlington,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2556,4562"
alexander_evins,Alexander] Evins,Alexander] Evins,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2876,4904"
alexander_mcbee,Alexander McBee,Alexander McBee,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2073
alexander_taylor,Alexander Taylor,Alexander Taylor,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2033
alfred_huger,Alfred Huger,Alfred Huger,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3283
alice_roberts,Alice Roberts,Alice Roberts,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2321
allard_belin_flagg,Allard Belin] Flagg,Allard Belin] Flagg,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2491,4493"
alleier_barrett,Alleier Barrett,Alleier Barrett,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2757
allen_merrits,Allen Merrits,Allen Merrits,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2172
allston,Al]l]ston,Al]l]ston,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=5080,5081"
alston_hayne,Alston Hayne,Alston Hayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2267
alston_kayne,Alston Kayne,Alston Kayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3480
andrew_b_crook,Andrew B.] Crook,Andrew B.] Crook,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3286,5348"
andrew_gordon_magrath,Andrew Gordon] Magrath,Andrew Gordon] Magrath,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2185,4162"
andrew_p_butler,Andrew P.] Butler,Andrew P.] Butler,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3054,5097"
andrew_pickens,Andrew Pickens,Andrew Pickens,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3355
andrew_pickens_butler,Andrew Pickens] Butler,Andrew Pickens] Butler,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2431,4429"
andy_johnson,Andy Johnson,Andy Johnson,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3266
anna_green,Anna Green,Anna Green,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2804
anna_hayne,Anna Hayne,Anna Hayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2394
anna_perry,Anna Perry,Anna Perry,,,,,,,,,,,,,0,,From people_review; raw_person_ids=288
anne_williams,Anne Williams,Anne Williams,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2663
annie_mcbee,Annie McBee,Annie McBee,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3123
ap_hayne,A.P. Hayne,A.P. Hayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1916
armistead_burt,Armistead Burt,Armistead Burt,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2801
arthur_hayne,A[rthur] Hayne,A[rthur] Hayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3319
arthur_p_hayne,Arthur P. Hayne,Arthur P. Hayne,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=1668,2083"
arthur_simpkins,Arthur Simpkins,Arthur Simpkins,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2963
asa_hodges,Asa Hodges,Asa Hodges,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1871
augustus_hoke,Augustus Hoke,Augustus Hoke,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1897
augustus_townes,Augustus Townes,Augustus Townes,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2730
aunt_annie,Aunt Annie,Aunt Annie,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2442
aunt_hayne,Aunt Hayne,Aunt Hayne,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2387
aunt_susan,Aunt Susan,Aunt Susan,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2563
aw_hanger,A.W. Hanger,A.W. Hanger,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3071
barnwell_duncan,Barnwell Duncan,Barnwell Duncan,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3095
barnwell_rhett,Barnwell Rhett,Barnwell Rhett,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1943
baylis_crayton,Baylis Crayton,Baylis Crayton,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2842
beaufort_watts,Beaufort Watts,Beaufort Watts,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2290
becky_sharp,Becky Sharp,Becky Sharp,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2340
ben_mcculloch,Ben McCulloch,Ben McCulloch,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3003
ben_mcdaniel,Ben McDaniel,Ben McDaniel,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2720
ben_yancey,Ben Yanceys,Ben Yanceys,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=1971,2466,4465"
benedict_arnold,Benedict Arnold,Benedict Arnold,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2164
benjamin_d_naebors,Benjamin D.] Naebors,Benjamin D.] Naebors,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3118,5168"
benjamin_franklin_perry,Benjamin Franklin Perry,Benjamin Franklin Perry,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=1,143,2324,261,267,2697,447,5471,916,935"
benson_j_lossing,Benson J. Lossing Esq.,Benson J. Lossing Esq.,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=1462,3468"
betty_robinson,Betty Robinson,Betty Robinson,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1856
bill_arps,Bill Arps,Bill Arps,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3361
bill_beattie,Bill Beattie,Bill Beattie,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2142
bill_fisher,Bill Fisher &,Bill Fisher &,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3320,5488"
bill_jones,Bill Jones,Bill Jones,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3111
bill_thompson,Bill Thompson,Bill Thompson,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2329
billy_sherrord,Billy Sherrord,Billy Sherrord,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2262
bishop_davis,Bishop Davis,Bishop Davis,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3220
bishop_doane,Bishop Doane,Bishop Doane,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3452
bishop_elliott,Bishop Elliott,Bishop Elliott,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2504
bob_spurgeon,Bob Spurgeon,Bob Spurgeon,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1831
charles_alexander_thornwell,[Charles Alexander] Thornwell,[Charles Alexander] Thornwell,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2726,4744"
charles_hammond,Charles Hammond,Charles Hammond,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3490
charles_henry_simonton,Charles Henry] Simonton,Charles Henry] Simonton,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2218,4197"
charles_hill,Charles Hill,Charles Hill,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2451
charles_lanman,Charles Lanman,Charles Lanman,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1050
charles_magill_conrad,Charles Magill] Conrad,Charles Magill] Conrad,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=3034,5075"
charles_sullivan,Charles Sullivan,Charles Sullivan,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2959
charley_ketchum,Charley Ketchum,Charley Ketchum,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2765
charley_lanneau,Charley Lanneau,Charley Lanneau,,,,,,,,,,,,,0,,From people_review; raw_person_ids=1572
charley_oneal,Charley ONeal,Charley ONeal,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3050
charlotte_smith,Charlotte Smith,Charlotte Smith,,,,,,,,,,,,,0,,From people_review; raw_person_ids=2275
chesney_smith,Chesney Smith,Chesney Smith,,,,,,,,,,,,,0,,From people_review; raw_person_ids=3179
christopher_g_memminger,Christopher G.] Memmingers,Christopher G.] Memmingers,,,,,,,,,,,,,0,,"From people_review; raw_person_ids=2288,2347,4271"
